"Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","FIPS","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","UID","ISO3","Testing_Rate","Hospitalization_Rate","rpt_dt"
"Arkansas","US","2020-07-04 04:34:04",34.9697,-92.3731,22622,281,16164,6177,5,749.617934100425,331237,1517,1.24215365573336,84000005,"USA",10976.0938748839,6.70586155070286,2020-07-03
"California","US","2020-07-04 04:34:04",36.1162,-119.6816,250514,6315,NA,244199,6,634.016466246407,4448176,NA,2.52081719983713,84000006,"USA",11257.7214397681,NA,2020-07-03
"Colorado","US","2020-07-04 04:34:04",39.0598,-105.3111,33595,1701,4541,27353,8,583.374546080945,340290,5527,5.06325346033636,84000008,"USA",5909.10922119021,16.4518529543087,2020-07-03
"Connecticut","US","2020-07-04 04:34:04",41.5978,-72.7554,46717,4335,8210,34172,9,1310.32929466828,499669,10411,9.27927735085729,84000009,"USA",14014.8324665027,22.285249480917,2020-07-03
"Delaware","US","2020-07-04 04:34:04",39.3185,-75.5071,11923,512,6692,4719,10,1224.42398774241,118343,NA,4.29422125304034,84000010,"USA",12153.1500445693,NA,2020-07-03
"Diamond Princess","US","2020-07-04 04:34:04",NA,NA,49,0,NA,49,88888,NA,NA,NA,0,84088888,"USA",NA,NA,2020-07-03
"District of Columbia","US","2020-07-04 04:34:04",38.8974,-77.0268,10435,555,1497,8383,11,1478.57099337016,102809,NA,5.31863919501677,84000011,"USA",14567.3603504929,NA,2020-07-03
"Florida","US","2020-07-04 04:34:04",27.7663,-81.6868,178594,3684,NA,174910,12,831.530807924503,2081360,15795,2.06277926470094,84000012,"USA",9690.77887488798,8.84408210802155,2020-07-03
"Georgia","US","2020-07-04 04:34:04",33.0406,-83.6431,90493,2857,NA,87636,13,852.306628454004,901217,11653,3.15715027681699,84000013,"USA",8488.09546346604,12.8772391234681,2020-07-03
"Grand Princess","US","2020-07-04 04:34:04",NA,NA,103,3,NA,100,99999,NA,NA,NA,2.9126213592233,84099999,"USA",NA,NA,2020-07-03
"Guam","US","2020-07-04 04:34:04",13.4443,144.7937,280,5,179,96,66,170.493639978323,14549,NA,1.78571428571429,316,"GUM",8858.97131444507,NA,2020-07-03
"Hawaii","US","2020-07-04 04:34:04",21.0943,-157.4983,975,19,746,210,15,68.8621570311441,81618,116,1.94871794871795,84000015,"USA",5764.50413596709,11.8974358974359,2020-07-03
"Idaho","US","2020-07-04 04:34:04",44.2405,-114.4788,6994,93,2801,4100,16,391.367969268046,98709,350,1.3297111810123,84000016,"USA",5523.52600492987,5.00428939090649,2020-07-03
"Illinois","US","2020-07-04 04:34:04",40.3495,-88.9861,145750,7005,NA,138745,17,1150.18985826899,1701757,NA,4.80617495711835,84000017,"USA",13429.4589546364,NA,2020-07-03
"Indiana","US","2020-07-04 04:34:04",39.8494,-86.2583,46915,2681,35756,8478,18,696.872754733618,504153,7175,5.71459021634872,84000018,"USA",7488.66012825786,15.2936161142492,2020-07-03
"Iowa","US","2020-07-04 04:34:04",42.0115,-93.2105,30463,721,24338,5404,19,965.525329073523,321461,NA,2.36680563306306,84000019,"USA",10188.7121363393,NA,2020-07-03
"Kansas","US","2020-07-04 04:34:04",38.5266,-96.7265,15659,282,842,14535,20,537.497846095546,191561,1219,1.80088128232965,84000020,"USA",6575.3640012714,7.78466057858101,2020-07-03
"Kentucky","US","2020-07-04 04:34:04",37.6681,-84.6701,16376,585,4747,11044,21,366.544283791585,395647,2685,3.57230092818759,84000021,"USA",8855.77346417251,16.3959452857841,2020-07-03
"Louisiana","US","2020-07-04 04:34:04",31.1695,-91.8678,63289,3278,43026,16985,22,1361.40685089509,784142,NA,5.17941506422917,84000022,"USA",16867.6435221694,NA,2020-07-03
"Maine","US","2020-07-04 04:34:04",44.6939,-69.3819,3373,105,2731,537,23,250.927681050311,103449,358,3.11295582567447,84000023,"USA",7695.88428015819,10.613697005633,2020-07-03
"Maryland","US","2020-07-04 04:34:04",39.0639,-76.8021,68961,3223,5023,60715,24,1140.6657315637,563834,10973,4.67365612447615,84000024,"USA",9326.22963835334,15.911892228941,2020-07-03
"Massachusetts","US","2020-07-04 04:34:04",42.2302,-71.5301,109628,8149,NA,101479,25,1590.53975021846,877780,11436,7.43331995475608,84000025,"USA",12735.2864409344,10.4316415514285,2020-07-03
"Michigan","US","2020-07-04 04:34:04",43.3266,-84.5361,72175,6215,51099,14861,26,722.699844405502,1108265,NA,8.611014894354,84000026,"USA",11097.2350960868,NA,2020-07-03
"Minnesota","US","2020-07-04 04:34:04",45.6945,-93.9002,37624,1503,32347,3774,27,667.135728004948,645172,4139,3.99479055921752,84000027,"USA",11439.9662956732,11.0009568360621,2020-07-03
"Mississippi","US","2020-07-04 04:34:04",32.7416,-89.6787,29684,1103,19388,9193,28,997.396299714833,299039,3208,3.71580649508153,84000028,"USA",10047.8504268435,10.8071688451691,2020-07-03
"Missouri","US","2020-07-04 04:34:04",38.4561,-92.2884,23160,1047,NA,22113,29,377.356768991832,404959,NA,4.52072538860104,84000029,"USA",6598.18738403123,NA,2020-07-03
"Montana","US","2020-07-04 04:34:04",46.9219,-110.4544,1128,23,678,427,30,105.541094595884,97503,109,2.03900709219858,84000030,"USA",9122.84871133201,9.66312056737589,2020-07-03
"Nebraska","US","2020-07-04 04:34:04",41.1254,-98.2681,19660,284,14022,5354,31,1016.3316115318,184134,1353,1.44455747711089,84000031,"USA",9518.88122877904,6.88199389623601,2020-07-03
"Nevada","US","2020-07-04 04:34:04",38.3135,-117.0554,20718,528,727,19463,32,672.62826947726,293685,NA,2.54850854329568,84000032,"USA",9534.74434411764,NA,2020-07-03
"New Hampshire","US","2020-07-04 04:34:04",43.4525,-71.5639,5857,376,4508,973,33,430.753299782086,122187,567,6.41966877240908,84000033,"USA",8986.24781295437,9.68072392009561,2020-07-03
"New Jersey","US","2020-07-04 04:34:04",40.2989,-74.521,172742,15164,30464,127114,34,1944.81315981757,1485501,20214,8.77840941982842,84000034,"USA",16724.4902439601,11.7018443690591,2020-07-03
"New Mexico","US","2020-07-04 04:34:04",34.8405,-106.2485,12776,511,5627,6638,35,609.300996886251,356637,1945,3.9996869129618,84000035,"USA",17008.3969651316,15.2238572323106,2020-07-03
"New York","US","2020-07-04 04:34:04",42.1657,-74.9481,395872,32137,70794,292941,36,2034.95904939975,4107985,89995,8.11802804947054,84000036,"USA",21116.8793209634,22.7333582572145,2020-07-03
"North Carolina","US","2020-07-04 04:34:04",35.6301,-79.8064,70262,1419,45538,23305,37,669.922170722508,999293,NA,2.01958384332925,84000037,"USA",9527.88898334529,NA,2020-07-03
"North Dakota","US","2020-07-04 04:34:04",47.5289,-99.784,3722,80,3266,376,38,488.41170403458,110574,237,2.14938205265986,84000038,"USA",14509.8430311444,6.36754433100484,2020-07-03
"Northern Mariana Islands","US","2020-07-04 04:34:04",15.0979,145.6739,31,2,19,10,69,56.2164514725083,8218,NA,6.45161290322581,580,"MNP",14902.7999419701,NA,2020-07-03
"Ohio","US","2020-07-04 04:34:04",40.3888,-82.7649,55257,2903,39423,12931,39,472.722450830261,828157,8084,5.25363302387028,84000039,"USA",7084.8653874122,14.6298206562065,2020-07-03
"Oklahoma","US","2020-07-04 04:34:04",35.5653,-96.9289,15069,398,11519,3152,40,380.821593082183,363854,1661,2.64118388745106,84000040,"USA",9195.26577273374,11.0226292388347,2020-07-03
"Oregon","US","2020-07-04 04:34:04",44.572,-122.0709,9636,209,2759,6668,41,228.463747265417,251054,1069,2.1689497716895,84000041,"USA",5952.33889642716,11.0938148609381,2020-07-03
